id,IMD18,Employment,Incom,Crime,Housing,Health,Education,Access,,,,,,,,,
7600491,5,4,6,7,7,7,2,4,,,,,,,,,
7600492,6,6,7,3,9,6,4,4,,,,,,,,,
7600493,3,4,3,1,6,3,4,7,,,,,,,,,
7600494,4,5,4,1,7,5,4,5,,,,,,,,,
7600496,5,5,6,2,7,3,2,7,,,,,,,,,
7600497,6,2,4,1,5,10,1,6,,,,,,,,,
7600498,1,3,2,1,2,1,3,5,,,,,,,,,
7600499,7,7,7,5,9,6,6,3,,,,,,,,,
7600500,2,2,3,7,4,3,3,5,,,,,,,,,
7600501,2,4,2,4,2,2,2,6,,,,,,,,,
7600502,6,3,4,5,9,10,2,2,,,,,,,,,
7600503,4,2,5,1,6,6,3,7,,,,,,,,,
7600504,4,3,6,2,7,6,2,5,,,,,,,,,
7600505,4,2,6,2,8,7,3,4,,,,,,,,,
7600506,5,7,6,4,8,4,3,3,,,,,,,,,
7600507,5,3,6,4,7,8,3,2,,,,,,,,,
7600508,9,7,9,8,10,10,8,4,,,,,,,,,
7600509,5,2,6,3,9,7,5,4,,,,,,,,,
7600510,7,7,7,5,8,7,5,5,,,,,,,,,
7600512,6,5,7,2,9,7,5,5,,,,,,,,,
7600513,3,3,5,2,6,4,2,6,,,,,,,,,
7600514,7,8,6,2,8,8,4,5,,,,,,,,,
7600515,8,4,7,10,9,10,4,2,,,,,,,,,
7600516,2,2,2,2,2,5,4,6,,,,,,,,,
7600517,7,6,8,9,7,7,8,5,,,,,,,,,
7600518,5,3,4,9,8,5,3,4,,,,,,,,,
7600519,6,6,6,4,8,7,3,4,,,,,,,,,
7600520,10,9,10,5,10,10,9,4,,,,,,,,,
7600521,5,3,6,4,8,3,5,6,,,,,,,,,
7600522,5,5,6,6,8,5,2,3,,,,,,,,,
7600523,6,5,6,10,8,7,4,2,,,,,,,,,
7600524,4,1,5,2,8,6,5,7,,,,,,,,,
7600525,2,2,3,1,6,3,2,5,,,,,,,,,
7600526,7,7,7,1,8,7,5,4,,,,,,,,,
7600527,5,5,2,8,5,9,3,6,,,,,,,,,
7600528,5,5,7,6,8,5,2,3,,,,,,,,,
7600529,3,5,3,3,6,4,1,3,,,,,,,,,
7600530,4,1,1,3,4,9,5,7,,,,,,,,,
7600531,3,6,2,3,4,3,1,6,,,,,,,,,
7600532,1,2,2,2,4,2,2,5,,,,,,,,,
7600533,2,4,1,2,3,2,2,5,,,,,,,,,
7600534,7,8,6,5,4,5,8,7,,,,,,,,,
7600535,6,6,6,1,9,7,4,6,,,,,,,,,
7600536,4,4,6,4,8,3,3,3,,,,,,,,,
7600537,2,4,3,3,2,5,1,3,,,,,,,,,
7600538,5,5,6,2,9,5,4,3,,,,,,,,,
7600540,2,2,2,3,5,4,2,3,,,,,,,,,
7600541,1,1,2,4,2,2,4,7,,,,,,,,,
7600542,1,2,2,2,2,2,3,6,,,,,,,,,
7600543,1,1,2,3,6,3,1,3,,,,,,,,,
7600544,4,5,4,7,8,6,1,6,,,,,,,,,
7600545,4,7,2,4,2,3,6,8,,,,,,,,,
7600546,6,4,5,8,8,10,4,3,,,,,,,,,
7600547,5,5,6,3,9,4,3,4,,,,,,,,,
7600548,5,4,6,8,6,7,6,2,,,,,,,,,
7600549,6,6,5,4,9,7,4,3,,,,,,,,,
7600550,7,6,7,7,6,7,7,9,,,,,,,,,
7600551,7,5,8,10,5,7,7,4,,,,,,,,,
7600552,7,9,7,5,8,6,5,1,,,,,,,,,
7600553,6,6,7,7,9,6,4,5,,,,,,,,,
7600554,1,4,1,2,2,3,1,5,,,,,,,,,
7600555,7,6,7,3,10,6,4,2,,,,,,,,,
7600556,3,6,3,7,6,2,1,2,,,,,,,,,
7600557,3,3,5,1,7,1,1,4,,,,,,,,,
7600558,4,4,6,4,7,3,2,5,,,,,,,,,
7600559,2,5,3,3,4,1,1,5,,,,,,,,,
7600560,6,7,7,3,8,7,2,4,,,,,,,,,
7600561,6,6,6,3,8,7,5,3,,,,,,,,,
7600562,6,4,4,7,8,9,3,5,,,,,,,,,
7600564,4,4,4,5,9,4,4,3,,,,,,,,,
7600565,3,2,4,1,6,3,5,5,,,,,,,,,
7600566,4,5,5,2,8,3,3,6,,,,,,,,,
7600567,3,2,4,2,4,5,3,9,,,,,,,,,
7600568,7,6,8,8,9,4,7,2,,,,,,,,,
7600569,2,4,1,1,1,5,2,7,,,,,,,,,
7600570,4,6,4,1,4,6,2,3,,,,,,,,,
7600571,5,5,6,1,7,2,4,3,,,,,,,,,
7600572,6,5,6,4,8,6,3,5,,,,,,,,,
7600573,1,1,2,5,3,5,1,6,,,,,,,,,
7600574,6,4,6,9,9,8,3,4,,,,,,,,,
7600575,6,6,6,5,8,4,5,2,,,,,,,,,
7600576,8,8,8,7,9,9,5,1,,,,,,,,,
7600577,1,3,2,5,5,1,1,4,,,,,,,,,
7600578,3,5,5,1,6,2,3,4,,,,,,,,,
7600579,2,2,3,5,6,2,1,4,,,,,,,,,
7600580,2,2,4,7,4,4,1,1,,,,,,,,,
7600581,2,3,4,1,6,2,3,4,,,,,,,,,
7600582,4,5,4,4,2,6,5,10,,,,,,,,,
7600583,6,6,7,3,9,7,2,4,,,,,,,,,
7600584,3,3,4,3,8,2,2,5,,,,,,,,,
7600585,3,2,3,3,2,9,2,3,,,,,,,,,
7600586,2,4,2,6,5,4,1,3,,,,,,,,,
7600587,9,9,8,3,10,10,8,2,,,,,,,,,
7600588,1,1,2,3,3,4,3,2,,,,,,,,,
7600589,9,8,8,9,10,9,7,1,,,,,,,,,
7600590,5,5,7,6,5,4,5,7,,,,,,,,,
7600591,4,3,6,2,8,6,2,3,,,,,,,,,
7600592,9,9,9,1,10,10,8,4,,,,,,,,,
7600593,2,1,4,2,7,2,2,4,,,,,,,,,
7600594,8,8,8,5,9,5,6,4,,,,,,,,,
7600595,8,7,7,8,4,10,7,5,,,,,,,,,
7600596,7,6,8,6,5,7,8,5,,,,,,,,,
7600597,2,3,3,2,6,2,2,4,,,,,,,,,
7600598,4,4,4,1,8,4,3,5,,,,,,,,,
7600599,2,1,3,9,5,2,3,3,,,,,,,,,
7600600,8,9,9,8,7,8,8,3,,,,,,,,,
7600601,3,1,6,2,7,2,3,5,,,,,,,,,
7600602,5,4,5,9,9,4,4,3,,,,,,,,,
7600603,3,4,3,2,7,3,3,6,,,,,,,,,
7600604,1,2,1,2,3,3,1,2,,,,,,,,,
7600605,6,5,7,3,6,5,6,8,,,,,,,,,
7600606,3,1,4,2,8,4,4,4,,,,,,,,,
7600607,6,5,6,4,9,6,4,3,,,,,,,,,
7600608,5,5,7,1,8,3,6,1,,,,,,,,,
7600609,1,1,3,1,6,3,2,4,,,,,,,,,
7600610,8,9,7,9,8,4,3,1,,,,,,,,,
7600611,6,4,6,10,7,8,3,1,,,,,,,,,
7600612,3,2,3,1,7,6,2,4,,,,,,,,,
7600613,6,6,7,6,9,6,4,3,,,,,,,,,
7600614,3,3,3,1,6,5,2,7,,,,,,,,,
7600615,5,4,6,2,9,3,7,5,,,,,,,,,
7600616,3,1,4,1,8,4,3,4,,,,,,,,,
7600617,4,5,4,3,7,2,4,5,,,,,,,,,
7600618,6,4,6,10,10,8,4,3,,,,,,,,,
7600619,2,5,2,5,5,3,2,2,,,,,,,,,
7600620,5,3,5,3,8,6,5,5,,,,,,,,,
7600621,10,9,10,5,10,10,9,1,,,,,,,,,
7600622,3,5,3,6,6,2,2,6,,,,,,,,,
7600623,4,1,7,4,7,5,4,2,,,,,,,,,
7600624,1,1,1,3,2,5,1,4,,,,,,,,,
7600626,2,5,2,1,4,2,3,4,,,,,,,,,
7600627,3,4,2,9,6,6,1,4,,,,,,,,,
7600628,2,4,2,6,2,3,2,7,,,,,,,,,
7600629,6,6,7,6,9,5,5,1,,,,,,,,,
7600630,5,5,7,4,5,5,5,7,,,,,,,,,
7600631,3,3,4,2,6,3,3,6,,,,,,,,,
7600632,2,1,3,2,5,6,2,6,,,,,,,,,
7600633,8,8,8,7,10,9,5,2,,,,,,,,,
7600634,5,5,6,6,9,6,2,1,,,,,,,,,
7600635,4,6,5,5,6,4,1,4,,,,,,,,,
7600636,2,3,3,7,3,2,3,3,,,,,,,,,
7600637,4,5,4,1,7,5,2,4,,,,,,,,,
7600638,4,3,5,3,8,7,3,4,,,,,,,,,
7600639,2,3,3,3,7,2,1,6,,,,,,,,,
7600640,2,1,3,3,7,4,1,4,,,,,,,,,
7600641,7,7,6,5,9,8,3,2,,,,,,,,,
7600642,3,3,2,6,6,7,2,1,,,,,,,,,
7600643,1,1,2,2,3,1,1,3,,,,,,,,,
7600644,4,3,5,6,8,4,1,3,,,,,,,,,
7600645,3,3,3,7,8,5,2,2,,,,,,,,,
7600646,6,6,6,5,10,6,1,1,,,,,,,,,
7600647,5,5,2,8,8,9,3,3,,,,,,,,,
7600648,2,1,3,1,5,6,2,5,,,,,,,,,
7600649,4,3,4,6,8,6,1,2,,,,,,,,,
7600650,2,3,4,1,6,1,3,3,,,,,,,,,
7600651,1,1,1,1,3,4,2,7,,,,,,,,,
7600652,3,4,5,1,5,2,2,5,,,,,,,,,
7600653,3,3,4,4,6,3,2,4,,,,,,,,,
7600654,6,5,7,4,9,6,3,3,,,,,,,,,
7600655,4,3,6,1,8,4,4,5,,,,,,,,,
7600656,5,4,5,3,9,5,6,1,,,,,,,,,
7600657,7,5,8,10,5,5,8,6,,,,,,,,,
7600658,4,5,1,5,5,9,1,2,,,,,,,,,
7600659,2,1,4,1,7,5,2,6,,,,,,,,,
7600660,3,1,4,9,9,3,1,1,,,,,,,,,
7600661,5,4,6,9,9,7,1,1,,,,,,,,,
7600662,6,4,7,4,9,4,2,3,,,,,,,,,
7600663,4,1,6,2,8,6,4,1,,,,,,,,,
7600665,4,2,6,1,7,5,4,6,,,,,,,,,
7600666,5,5,7,2,4,6,5,6,,,,,,,,,
7600667,4,7,2,1,6,6,1,6,,,,,,,,,
7600668,2,3,3,2,3,3,3,6,,,,,,,,,
7600669,10,10,10,8,10,10,8,1,,,,,,,,,
7600670,2,3,3,7,8,1,2,3,,,,,,,,,
7600671,4,4,5,3,6,6,4,5,,,,,,,,,
7600672,6,7,7,5,5,5,7,7,,,,,,,,,
7600673,2,3,2,1,4,3,2,7,,,,,,,,,
7600674,5,4,7,1,8,5,2,3,,,,,,,,,
7600675,7,7,7,6,10,4,5,3,,,,,,,,,
7600677,4,5,4,1,6,7,1,6,,,,,,,,,
7600678,9,9,9,5,10,9,8,2,,,,,,,,,
7600679,1,1,1,5,3,2,2,3,,,,,,,,,
7600680,2,2,3,1,4,3,4,5,,,,,,,,,
7600681,10,10,9,9,10,10,5,2,,,,,,,,,
7600682,6,5,5,10,8,6,2,3,,,,,,,,,
7600683,2,2,4,1,6,3,1,5,,,,,,,,,
7600684,9,10,9,3,10,9,6,2,,,,,,,,,
7600685,10,10,10,6,10,10,7,2,,,,,,,,,
7600686,5,6,5,7,9,3,3,2,,,,,,,,,
7600687,7,8,5,7,9,8,3,1,,,,,,,,,
7600688,5,7,3,9,7,7,1,1,,,,,,,,,
7600689,10,10,10,8,10,8,10,6,,,,,,,,,
7600690,2,1,5,1,6,2,4,4,,,,,,,,,
7600691,4,4,4,5,7,5,5,4,,,,,,,,,
7600692,6,7,5,8,8,8,1,2,,,,,,,,,
7600693,1,2,1,1,3,1,2,4,,,,,,,,,
7600694,9,10,9,8,10,8,7,2,,,,,,,,,
7600695,2,4,2,3,6,3,3,5,,,,,,,,,
7600696,4,2,5,2,9,5,3,4,,,,,,,,,
7600697,2,3,3,4,4,4,2,6,,,,,,,,,
7600698,7,7,9,6,4,2,5,8,,,,,,,,,
7600699,3,5,3,5,7,5,1,1,,,,,,,,,
7600700,4,1,6,3,9,4,3,3,,,,,,,,,
7600701,1,2,2,1,3,2,3,7,,,,,,,,,
7600702,6,6,6,6,8,5,4,3,,,,,,,,,
7600703,3,3,3,1,7,4,3,5,,,,,,,,,
7600704,5,5,5,9,2,3,7,9,,,,,,,,,
7600705,6,6,7,8,10,7,2,1,,,,,,,,,
7600706,4,4,4,3,7,6,5,4,,,,,,,,,
7600707,6,7,5,6,8,6,6,2,,,,,,,,,
7600708,8,6,8,4,9,9,6,4,,,,,,,,,
7600709,4,3,5,1,9,3,4,4,,,,,,,,,
7600710,4,4,6,4,4,3,2,8,,,,,,,,,
7600711,1,3,2,4,1,1,1,5,,,,,,,,,
7600712,6,7,5,5,8,6,3,2,,,,,,,,,
7600713,7,6,9,4,6,5,6,7,,,,,,,,,
7600714,5,4,3,7,10,9,1,2,,,,,,,,,
7600715,1,3,1,4,3,6,1,2,,,,,,,,,
7600716,5,5,4,9,8,7,1,1,,,,,,,,,
7600717,4,3,5,4,9,4,2,4,,,,,,,,,
7600718,8,9,8,6,10,7,6,6,,,,,,,,,
7600719,4,6,2,3,1,3,6,8,,,,,,,,,
7600720,7,6,6,10,9,6,2,1,,,,,,,,,
7600721,3,1,6,1,7,5,3,5,,,,,,,,,
7600722,8,7,7,5,10,10,8,1,,,,,,,,,
7600723,1,2,2,3,5,2,1,1,,,,,,,,,
7600724,8,7,8,6,9,9,4,2,,,,,,,,,
7600725,7,6,7,6,7,5,9,8,,,,,,,,,
7600726,7,6,6,10,9,7,5,2,,,,,,,,,
7600727,4,4,4,3,7,6,2,3,,,,,,,,,
7600728,7,4,9,3,7,4,7,9,,,,,,,,,
7600729,2,3,4,6,3,1,2,8,,,,,,,,,
7600730,1,1,1,7,4,3,1,2,,,,,,,,,
7600731,2,3,5,2,5,2,2,6,,,,,,,,,
7600732,4,1,6,1,8,4,3,4,,,,,,,,,
7600733,4,5,4,5,7,6,2,1,,,,,,,,,
7600734,2,2,1,6,5,5,1,1,,,,,,,,,
7600735,1,3,2,2,4,1,3,6,,,,,,,,,
7600736,3,3,3,3,6,6,2,7,,,,,,,,,
7600737,6,7,6,7,7,5,1,1,,,,,,,,,
7600738,6,6,7,7,10,3,4,1,,,,,,,,,
7600739,4,6,4,8,6,5,2,2,,,,,,,,,
7600740,10,10,10,4,10,10,9,3,,,,,,,,,
7600741,2,1,4,1,7,3,3,5,,,,,,,,,
7600742,5,5,4,5,9,8,1,3,,,,,,,,,
7600743,3,3,4,3,8,2,3,3,,,,,,,,,
7600744,3,3,5,2,7,3,3,5,,,,,,,,,
7600745,6,4,6,4,10,6,1,1,,,,,,,,,
7600746,5,4,6,5,9,3,2,2,,,,,,,,,
7600747,3,1,5,1,6,3,2,6,,,,,,,,,
7600748,5,5,4,10,8,5,2,1,,,,,,,,,
7600749,2,1,2,3,7,6,1,3,,,,,,,,,
7600750,4,3,5,4,9,4,4,3,,,,,,,,,
7600751,3,4,4,3,7,1,2,1,,,,,,,,,
7600752,3,5,3,1,3,5,1,6,,,,,,,,,
7600753,4,1,5,7,8,8,1,3,,,,,,,,,
7600754,6,4,5,9,9,9,1,1,,,,,,,,,
7600755,2,1,4,2,5,5,2,6,,,,,,,,,
7600756,5,5,5,7,8,7,3,2,,,,,,,,,
7600757,2,2,2,6,6,4,1,1,,,,,,,,,
7600758,6,6,7,6,9,4,3,1,,,,,,,,,
7600759,6,3,5,10,9,8,3,3,,,,,,,,,
7600760,2,3,3,6,6,3,1,1,,,,,,,,,
7600761,3,3,3,9,8,3,2,2,,,,,,,,,
7600762,3,2,4,2,8,5,1,5,,,,,,,,,
7600763,3,4,3,9,6,4,1,1,,,,,,,,,
7600765,6,6,5,3,9,6,5,3,,,,,,,,,
7600766,4,3,5,3,7,6,3,4,,,,,,,,,
7600767,4,5,4,2,6,5,4,2,,,,,,,,,
7600768,8,7,9,5,6,8,7,7,,,,,,,,,
7600769,10,10,10,4,10,10,10,3,,,,,,,,,
7600770,4,5,2,7,6,7,1,1,,,,,,,,,
7600771,3,4,1,5,8,3,2,3,,,,,,,,,
7600772,3,5,4,1,6,5,2,5,,,,,,,,,
7600773,7,9,6,9,8,8,1,2,,,,,,,,,
7600774,2,3,3,3,7,4,1,1,,,,,,,,,
7600775,5,6,5,6,8,6,2,1,,,,,,,,,
7600776,2,5,1,1,5,1,1,6,,,,,,,,,
7600777,3,4,2,9,7,5,1,1,,,,,,,,,
7600778,3,1,5,1,7,4,3,3,,,,,,,,,
7600779,4,7,4,1,6,1,4,6,,,,,,,,,
7600780,3,2,3,7,5,8,2,5,,,,,,,,,
7600781,1,1,1,6,5,3,1,1,,,,,,,,,
7600782,1,1,1,6,6,5,1,1,,,,,,,,,
7600783,4,4,6,1,9,3,3,2,,,,,,,,,
7600784,5,4,6,1,6,3,6,9,,,,,,,,,
7600785,8,10,7,9,7,8,3,2,,,,,,,,,
7600786,5,3,7,7,5,6,5,7,,,,,,,,,
7600787,4,1,5,4,5,9,1,3,,,,,,,,,
7600788,5,4,5,9,9,6,2,1,,,,,,,,,
7600789,8,8,7,10,10,7,5,1,,,,,,,,,
7600790,5,6,4,10,8,5,2,1,,,,,,,,,
7600791,2,4,2,3,5,3,3,7,,,,,,,,,
7600792,3,3,4,1,6,5,3,6,,,,,,,,,
7600793,3,2,3,4,6,8,2,4,,,,,,,,,
7600794,2,3,2,1,4,6,2,3,,,,,,,,,
7600795,6,2,6,5,9,8,5,1,,,,,,,,,
7600796,4,3,6,3,9,4,2,4,,,,,,,,,
7600797,2,2,4,1,2,4,5,8,,,,,,,,,
7600798,2,1,4,1,7,1,1,4,,,,,,,,,
7600799,3,3,5,1,5,3,3,7,,,,,,,,,
7600800,6,8,6,8,8,5,3,1,,,,,,,,,
7600801,3,5,3,2,7,3,2,4,,,,,,,,,
7600802,1,1,1,1,5,1,2,2,,,,,,,,,
7600803,5,8,2,8,7,2,1,1,,,,,,,,,
7600804,1,2,2,2,4,3,2,5,,,,,,,,,
7600805,2,2,3,1,6,4,2,2,,,,,,,,,
7600806,8,9,7,6,10,9,5,2,,,,,,,,,
7600807,4,4,5,6,8,7,2,3,,,,,,,,,
7600808,3,2,4,1,3,8,2,5,,,,,,,,,
7600809,3,4,2,8,9,3,2,2,,,,,,,,,
7600810,4,3,4,10,7,5,5,1,,,,,,,,,
7600811,6,7,7,4,8,2,2,1,,,,,,,,,
7600812,6,4,7,7,9,7,4,4,,,,,,,,,
7600813,8,5,9,7,10,8,7,2,,,,,,,,,
7600814,2,3,2,5,8,2,1,1,,,,,,,,,
7600815,1,2,1,6,4,3,3,6,,,,,,,,,
7600816,3,5,2,7,7,4,1,1,,,,,,,,,
7600817,2,3,4,7,3,3,1,1,,,,,,,,,
7600818,2,5,1,3,2,2,2,5,,,,,,,,,
7600819,6,4,7,10,4,7,5,6,,,,,,,,,
7600820,3,4,4,2,8,1,2,4,,,,,,,,,
7600821,4,3,5,2,8,3,3,5,,,,,,,,,
7600822,2,2,3,2,5,2,2,4,,,,,,,,,
7600823,3,4,4,1,5,5,2,6,,,,,,,,,
7600824,5,5,3,6,8,7,1,1,,,,,,,,,
7600825,8,8,8,2,7,6,7,6,,,,,,,,,
7600826,6,6,6,10,8,6,1,1,,,,,,,,,
7600827,4,4,4,4,8,6,3,5,,,,,,,,,
7600828,2,4,3,2,4,5,2,4,,,,,,,,,
7600829,3,3,2,9,7,2,1,1,,,,,,,,,
7600830,4,5,2,7,7,6,3,1,,,,,,,,,
7600831,10,5,10,9,10,10,10,1,,,,,,,,,
7600832,1,1,1,2,6,6,1,4,,,,,,,,,
7600833,3,3,4,10,7,2,1,1,,,,,,,,,
7600834,3,3,2,2,7,5,2,7,,,,,,,,,
7600835,3,2,4,2,7,4,4,5,,,,,,,,,
7600836,3,3,2,10,6,3,1,1,,,,,,,,,
7600837,3,2,1,10,7,5,2,1,,,,,,,,,
7600838,4,2,4,9,8,7,2,1,,,,,,,,,
7600839,4,5,4,1,8,2,2,4,,,,,,,,,
7600840,2,5,2,3,4,3,1,7,,,,,,,,,
7600841,4,3,3,8,9,4,1,1,,,,,,,,,
7600842,2,2,2,4,6,4,2,1,,,,,,,,,
7600843,3,3,4,1,7,5,1,5,,,,,,,,,
7600844,5,3,4,3,8,10,1,4,,,,,,,,,
7600845,5,6,3,9,8,5,2,2,,,,,,,,,
7600846,1,1,2,1,3,3,3,6,,,,,,,,,
7600847,3,3,4,2,8,4,1,5,,,,,,,,,
7600848,1,1,2,2,2,1,2,3,,,,,,,,,
7600849,9,8,9,6,10,9,7,2,,,,,,,,,
7600850,2,4,1,6,7,3,2,1,,,,,,,,,
7600851,4,4,5,4,7,4,2,5,,,,,,,,,
7600852,2,2,3,1,2,2,4,5,,,,,,,,,
7600853,2,2,2,1,2,6,4,5,,,,,,,,,
7600854,3,4,3,4,8,5,1,2,,,,,,,,,
7600855,5,4,6,9,10,2,2,2,,,,,,,,,
7600856,4,3,3,5,2,7,6,9,,,,,,,,,
7600857,5,8,6,3,3,2,5,7,,,,,,,,,
7600858,2,3,3,7,3,3,4,2,,,,,,,,,
7600859,9,10,9,7,10,8,8,2,,,,,,,,,
7600860,1,1,1,1,2,1,1,4,,,,,,,,,
7600861,2,3,2,8,5,4,1,1,,,,,,,,,
7600862,6,5,5,7,8,10,2,1,,,,,,,,,
7600863,1,2,1,3,6,3,1,1,,,,,,,,,
7600864,2,3,4,1,8,1,1,4,,,,,,,,,
7600865,2,1,4,3,4,5,3,6,,,,,,,,,
7600866,2,2,3,2,6,3,2,5,,,,,,,,,
7600867,9,10,9,5,10,9,7,2,,,,,,,,,
7600868,1,2,2,3,5,4,1,5,,,,,,,,,
7600869,6,4,7,6,5,6,5,6,,,,,,,,,
7600870,4,6,3,9,8,3,2,1,,,,,,,,,
7600871,1,2,3,1,4,2,2,4,,,,,,,,,
7600872,1,4,2,1,3,1,1,4,,,,,,,,,
7600873,2,2,3,1,8,1,3,4,,,,,,,,,
7600874,2,5,1,5,6,1,2,1,,,,,,,,,
7600875,3,5,4,2,8,1,2,3,,,,,,,,,
7600877,2,2,2,1,3,6,3,6,,,,,,,,,
7600878,4,5,4,2,4,5,6,7,,,,,,,,,
7600879,4,3,5,7,9,4,3,2,,,,,,,,,
7600880,1,1,2,8,4,3,1,2,,,,,,,,,
7600881,9,10,8,9,9,8,3,1,,,,,,,,,
7600882,3,3,3,3,9,6,1,2,,,,,,,,,
7600883,1,1,1,2,3,3,1,5,,,,,,,,,
7600884,4,3,4,6,8,4,3,5,,,,,,,,,
7600885,4,3,4,3,9,3,2,3,,,,,,,,,
7600886,2,2,3,2,6,4,2,3,,,,,,,,,
7600887,2,5,1,2,2,2,2,5,,,,,,,,,
7600888,5,6,3,8,4,6,5,9,,,,,,,,,
7600889,6,7,4,10,9,6,2,1,,,,,,,,,
7600890,2,2,2,10,6,3,2,2,,,,,,,,,
7600891,2,4,1,4,4,2,3,4,,,,,,,,,
7600892,8,7,3,8,8,10,3,2,,,,,,,,,
7600893,1,1,2,6,6,2,2,1,,,,,,,,,
7600894,10,10,9,8,10,10,6,1,,,,,,,,,
7600895,8,9,8,10,10,8,6,4,,,,,,,,,
7600896,2,2,2,2,5,4,2,6,,,,,,,,,
7600897,2,3,3,7,5,4,2,7,,,,,,,,,
7600898,4,3,2,8,5,10,1,3,,,,,,,,,
7600899,2,4,1,5,6,4,1,5,,,,,,,,,
7600900,1,1,1,1,2,3,2,5,,,,,,,,,
7600901,1,1,2,2,5,2,1,3,,,,,,,,,
7600902,3,3,5,2,8,5,2,2,,,,,,,,,
7600903,7,7,6,6,9,7,6,3,,,,,,,,,
7600904,3,3,2,8,7,4,1,2,,,,,,,,,
7600905,1,1,2,6,6,1,1,2,,,,,,,,,
7600906,3,4,4,5,2,3,2,7,,,,,,,,,
7600907,3,4,3,1,7,2,1,5,,,,,,,,,
7600908,7,7,8,4,5,5,8,5,,,,,,,,,
7600910,3,5,5,1,3,2,4,6,,,,,,,,,
7600912,2,2,2,6,8,1,4,2,,,,,,,,,
7600913,2,3,2,5,7,2,1,2,,,,,,,,,
7600914,6,4,4,8,9,9,2,1,,,,,,,,,
7600915,2,1,3,4,7,5,3,5,,,,,,,,,
7600916,3,6,1,9,4,3,1,4,,,,,,,,,
7600917,4,5,2,10,8,6,1,1,,,,,,,,,
7600918,5,4,4,4,6,9,2,1,,,,,,,,,
7600919,1,1,1,3,1,3,2,4,,,,,,,,,
7600920,2,2,1,4,8,3,1,2,,,,,,,,,
7600921,4,3,2,10,9,3,1,1,,,,,,,,,
7600922,2,3,1,10,4,1,2,3,,,,,,,,,
7600923,1,1,1,1,1,5,1,8,,,,,,,,,
7600924,2,1,2,2,7,6,4,3,,,,,,,,,
7600925,4,3,2,7,9,7,2,2,,,,,,,,,
7600926,2,4,3,1,6,3,2,2,,,,,,,,,
7600927,3,2,3,2,10,1,1,1,,,,,,,,,
7600928,5,4,3,10,9,4,1,1,,,,,,,,,
7600929,3,3,2,4,10,1,2,1,,,,,,,,,
7600930,3,3,4,4,8,4,1,3,,,,,,,,,
7600932,1,3,1,1,3,1,2,6,,,,,,,,,
7600933,7,8,5,10,9,4,1,1,,,,,,,,,
7600934,5,6,2,10,9,4,1,1,,,,,,,,,
7600935,4,2,4,6,9,5,1,1,,,,,,,,,
7600936,1,1,1,2,2,1,1,6,,,,,,,,,
7600937,3,4,2,9,8,4,1,1,,,,,,,,,
7600938,2,3,3,2,3,3,2,6,,,,,,,,,
7600939,2,1,1,5,10,1,1,1,,,,,,,,,
7600940,1,2,2,2,5,2,3,2,,,,,,,,,
7600941,7,7,5,8,10,7,1,1,,,,,,,,,
7600942,2,4,2,3,6,3,2,2,,,,,,,,,
7600943,5,4,4,10,10,4,2,1,,,,,,,,,
7600944,3,4,4,7,8,3,2,1,,,,,,,,,
7600945,2,1,3,4,8,5,2,2,,,,,,,,,
7600946,2,6,1,1,3,1,1,3,,,,,,,,,
7600947,4,4,5,4,8,4,1,6,,,,,,,,,
7600948,2,1,2,9,7,3,1,1,,,,,,,,,
7600949,8,10,8,10,9,3,5,1,,,,,,,,,
7600950,2,2,1,1,1,7,4,9,,,,,,,,,
7600951,9,10,6,10,9,10,8,1,,,,,,,,,
7600952,2,3,2,5,7,2,1,2,,,,,,,,,
7600953,4,4,2,10,8,4,2,5,,,,,,,,,
7600954,2,2,2,7,9,1,2,1,,,,,,,,,
7600955,5,8,4,8,7,1,2,2,,,,,,,,,
7600956,7,5,2,10,8,9,8,1,,,,,,,,,
7600957,5,5,7,1,5,5,5,5,,,,,,,,,
7600958,1,2,1,4,5,1,2,2,,,,,,,,,
7600959,3,4,3,2,3,3,4,9,,,,,,,,,
7600960,4,6,6,5,4,4,4,7,,,,,,,,,
7600961,4,2,1,10,10,1,1,1,,,,,,,,,
7600962,3,3,2,3,5,8,2,6,,,,,,,,,
7600964,4,4,2,9,8,5,1,1,,,,,,,,,
7600965,1,3,1,2,1,1,1,7,,,,,,,,,
7600966,1,3,2,2,2,2,1,4,,,,,,,,,
7600967,6,6,7,3,5,4,5,7,,,,,,,,,
7600968,5,2,4,10,10,5,1,1,,,,,,,,,
7600969,2,5,2,1,3,4,1,7,,,,,,,,,
7600970,3,1,3,9,8,6,1,1,,,,,,,,,
7600971,6,6,4,10,9,6,2,2,,,,,,,,,
7600972,1,1,1,1,4,2,1,2,,,,,,,,,
7600973,6,5,3,10,10,1,3,1,,,,,,,,,
7600974,5,4,3,5,3,10,1,6,,,,,,,,,
7600975,6,6,6,9,8,7,2,3,,,,,,,,,
7600976,2,2,1,7,10,1,1,1,,,,,,,,,
7600977,3,3,2,10,10,1,1,1,,,,,,,,,
7600978,4,3,3,10,8,2,2,1,,,,,,,,,
7600979,1,1,3,2,6,4,2,3,,,,,,,,,
7600980,4,6,2,7,10,1,1,1,,,,,,,,,
7600981,2,3,3,6,6,4,2,3,,,,,,,,,
7600982,1,2,1,7,7,1,1,4,,,,,,,,,
7600983,3,2,2,5,6,9,2,2,,,,,,,,,
7600984,3,7,2,3,6,1,1,3,,,,,,,,,
