id,IMD18,Employment,Incom,Crime,Housing,Health,Education,Access,,,,,,,,,
7600113,7,7,8,4,7,7,8,6,,,,,,,,,
7600114,9,9,9,7,9,8,8,1,,,,,,,,,
7600115,6,5,6,4,8,7,6,5,,,,,,,,,
7600116,7,4,8,8,8,8,6,2,,,,,,,,,
7600117,8,6,9,6,9,5,7,6,,,,,,,,,
7600118,9,6,9,6,9,10,8,4,,,,,,,,,
7600119,10,9,10,8,9,10,9,6,,,,,,,,,
7600120,9,9,10,7,9,8,7,3,,,,,,,,,
7600121,9,7,10,4,9,9,9,5,,,,,,,,,
7600122,8,7,9,9,9,9,6,5,,,,,,,,,
7600123,9,8,9,5,10,10,9,2,,,,,,,,,
7600124,4,4,6,3,5,2,4,10,,,,,,,,,
7600125,3,5,3,5,1,3,2,9,,,,,,,,,
7600126,9,8,9,6,10,9,8,3,,,,,,,,,
7600127,9,8,9,5,9,9,8,6,,,,,,,,,
7600128,8,8,9,6,9,8,7,5,,,,,,,,,
7600129,2,1,3,4,3,4,4,9,,,,,,,,,
7600130,3,2,3,9,5,1,3,9,,,,,,,,,
7600131,9,9,9,4,10,10,8,5,,,,,,,,,
7600132,9,8,9,3,9,9,8,5,,,,,,,,,
7600133,10,9,10,8,10,10,9,6,,,,,,,,,
7600134,9,8,10,9,10,9,9,5,,,,,,,,,
7600135,4,3,6,2,4,7,3,4,,,,,,,,,
7600136,8,8,8,4,9,8,8,6,,,,,,,,,
7600137,5,4,5,7,9,6,2,7,,,,,,,,,
7600138,9,9,9,5,8,8,8,6,,,,,,,,,
7600139,8,9,9,4,9,9,7,1,,,,,,,,,
7600140,3,4,4,2,2,3,4,8,,,,,,,,,
7600141,9,9,8,5,10,9,8,1,,,,,,,,,
7600142,6,6,6,6,5,5,5,6,,,,,,,,,
7600143,9,7,9,4,10,10,6,1,,,,,,,,,
7600144,9,9,10,10,10,9,8,1,,,,,,,,,
7600145,6,6,6,10,6,8,5,5,,,,,,,,,
7600146,9,7,9,6,10,8,6,1,,,,,,,,,
7600147,1,2,1,5,3,3,2,9,,,,,,,,,
7600148,9,8,9,7,10,8,9,7,,,,,,,,,
7600149,10,9,9,10,10,9,9,2,,,,,,,,,
7600150,5,5,6,5,5,6,3,5,,,,,,,,,
7600151,6,5,7,6,3,4,8,10,,,,,,,,,
7600152,9,9,9,6,9,9,7,4,,,,,,,,,
7600153,8,7,9,7,9,7,8,5,,,,,,,,,
7600154,8,8,9,8,8,9,7,7,,,,,,,,,
7600155,8,7,6,4,6,10,9,7,,,,,,,,,
7600156,9,9,9,8,8,9,9,7,,,,,,,,,
7600157,8,7,7,10,9,9,5,2,,,,,,,,,
7600158,9,9,9,6,8,8,8,6,,,,,,,,,
7600159,2,1,4,1,3,4,5,8,,,,,,,,,
7600160,10,10,10,6,10,10,9,5,,,,,,,,,
7600161,9,9,9,8,9,9,5,1,,,,,,,,,
7600162,9,10,6,10,5,10,8,1,,,,,,,,,
7600163,8,8,9,5,9,7,6,6,,,,,,,,,
7600164,9,9,10,5,9,9,9,6,,,,,,,,,
7600165,2,1,5,5,2,1,4,10,,,,,,,,,
7600166,9,9,8,10,10,9,8,2,,,,,,,,,
7600167,10,10,10,9,10,10,7,6,,,,,,,,,
7600168,8,8,8,5,9,9,8,6,,,,,,,,,
7600169,8,7,8,10,8,7,6,1,,,,,,,,,
7600170,7,6,7,3,8,9,5,6,,,,,,,,,
7600171,4,5,3,1,6,2,6,5,,,,,,,,,
7600172,1,1,2,3,1,1,2,7,,,,,,,,,
7600173,5,5,7,1,4,6,3,9,,,,,,,,,
7600174,6,7,6,6,5,5,4,7,,,,,,,,,
7600175,10,9,9,10,9,10,9,3,,,,,,,,,
7600176,2,3,2,3,2,1,5,8,,,,,,,,,
7600177,9,8,9,8,9,10,8,7,,,,,,,,,
